year2,denom,comp_denom
1978,67855010,67731680
1979,71856100,71750280
1980,74390840,74291240
1981,73588160,73503610
1982,74050070,73967680
1983,73590380,73498300
1984,75008860,74942220
1985,79581530,79515880
1986,82165890,82090950
1987,84881480,84777510
1988,86060180,85941600
1989,88880840,88769710
1990,91491420,91377740
1991,91973750,91856740
1992,91582240,91466290
1993,92476270,92351020
1994,94104850,93982150
1995,96722070,96598710
1996,99426880,99313090
1997,101869750,101750290
1998,104731340,104603710
1999,107872100,107747480
2000,110838720,110724090
2001,113782440,113673770
2002,113055640,112971680
2003,111899620,111829350
2004,112985090,112912840
2005,114476130,114393480
2006,116956430,116839250
2007,119192840,119052250
2008,119607280,119474960
2009,116537760,116427190
2010,112043560,111934870
2011,111504390,111375740
2012,113559760,113409360
2013,115889560,115727560
