year2,job_creation,comp_job_creation
1978,14128500,14009400
1979,14497050,14403190
1980,12780080,12693030
1981,13060440,12999370
1982,13783310,13668420
1983,12636000,12518580
1984,15240120,15153230
1985,14791270,14672080
1986,15563680,15441810
1987,16389080,16254960
1988,16799420,16668400
1989,17007760,16917150
1990,15820520,15704990
1991,14927650,14823830
1992,15612020,15476630
1993,15556020,15431730
1994,15486300,15361480
1995,16393560,16273400
1996,16416690,16296280
1997,18691610,18552190
1998,18214180,18075890
1999,18300980,18174140
2000,19524500,19418730
2001,18814880,18692760
2002,19381270,19276540
2003,18254560,18121830
2004,17827340,17695510
2005,18064830,17921050
2006,19304090,19135350
2007,19724840,19544090
2008,17708280,17576090
2009,13813340,13692830
2010,14004260,13861390
2011,15162420,15011660
2012,16744710,16574810
2013,16025920,15889110
