year2,denom,comp_denom
1978,67855010,67119170
1979,71856100,71040480
1980,74390840,72287110
1981,73588160,71465530
1982,74050070,71346450
1983,73590380,71006250
1984,75008860,72572880
1985,79581530,76014820
1986,82165890,79148810
1987,84881480,81352700
1988,86060180,82993250
1989,88880840,85449220
1990,91491420,87981940
1991,91973750,88565120
1992,91582240,88481640
1993,92476270,89627380
1994,94104850,90945640
1995,96722070,93670140
1996,99426880,97093220
1997,101869750,99639450
1998,104731340,101863370
1999,107872100,104052830
2000,110838720,107157800
2001,113782440,
2002,113055640,
2003,111899620,
2004,112985090,
2005,114476130,
2006,116956430,
2007,119192840,
2008,119607280,
2009,116537760,
2010,112043560,
2011,111504390,
2012,113559760,
2013,115889560,
