year2,job_creation,comp_job_creation
1978,14128500,19329090
1979,14497050,19819540
1980,12780080,18152130
1981,13060440,18334290
1982,13783310,18356230
1983,12636000,17031510
1984,15240120,20180160
1985,14791270,21519050
1986,15563680,22485670
1987,16389080,23633370
1988,16799420,23020110
1989,17007760,23879060
1990,15820520,23402840
1991,14927650,21704190
1992,15612020,23080180
1993,15556020,22037910
1994,15486300,22363080
1995,16393560,24341670
1996,16416690,24464170
1997,18691610,26197120
1998,18214180,25513910
1999,18300980,27338440
2000,19524500,28174930
2001,18814880,
2002,19381270,
2003,18254560,
2004,17827340,
2005,18064830,
2006,19304090,
2007,19724840,
2008,17708280,
2009,13813340,
2010,14004260,
2011,15162420,
2012,16744710,
2013,16025920,
