year2,job_creation_births,comp_job_creation_births
1978,4623750,3723580
1979,5051230,4044160
1980,4629610,3640010
1981,5481670,3817380
1982,6336480,4903770
1983,4890920,3802620
1984,5655250,4295600
1985,5508630,4798930
1986,6325380,5002030
1987,6900300,6292210
1988,6575670,4549490
1989,6678840,5310430
1990,6030640,4554550
1991,6307330,5215020
1992,5850420,4699600
1993,5330300,4086610
1994,5738550,4677410
1995,6063570,4966020
1996,6430430,5326770
1997,7048440,5755900
1998,6834930,5070980
1999,7003640,5242540
2000,7293510,5426400
2001,7429740,
2002,8314340,
2003,6735130,
2004,6419740,
2005,7155250,
2006,7414220,
2007,7314730,
2008,6468760,
2009,5347800,
2010,5331000,
2011,5089750,
2012,5432770,
2013,5275170,
