year2,job_creation_continuers,comp_job_creation_continuers
1978,9504760,15605510
1979,9445820,15775370
1980,8150470,14512120
1981,7578770,14516910
1982,7446820,13452450
1983,7745080,13228880
1984,9584860,15884570
1985,9282630,16720120
1986,9238290,17483640
1987,9488780,17341160
1988,10223760,18470620
1989,10328930,18568630
1990,9789880,18848300
1991,8620320,16489160
1992,9761600,18380580
1993,10225720,17951300
1994,9747750,17685670
1995,10329990,19375660
1996,9986250,19137400
1997,11643170,20441220
1998,11379250,20442930
1999,11297340,22095900
2000,12230990,22748530
2001,11385140,
2002,11066940,
2003,11519430,
2004,11407600,
2005,10909580,
2006,11889870,
2007,12410110,
2008,11239530,
2009,8465550,
2010,8673260,
2011,10072670,
2012,11311940,
2013,10750750,
