year2,denom,comp_denom
1978,67835160,67731680
1979,71831980,71750280
1980,74287350,74291240
1981,73590410,73503610
1982,73949270,73967680
1983,73466770,73498300
1984,75063960,74942220
1985,79559370,79515880
1986,82132210,82090950
1987,84903600,84777510
1988,85985520,85941600
1989,88979790,88769710
1990,91435830,91377740
1991,91986980,91856740
1992,91484070,91466290
1993,92477740,92351020
1994,94063550,93982150
1995,96686550,96598710
1996,99495510,99313090
1997,101839650,101750290
1998,104693910,104603710
1999,107853080,107747480
2000,110849910,110724090
2001,113951990,113673770
2002,113026370,112971680
2003,111659810,111829350
2004,112879080,112912840
2005,114392230,114393480
2006,116880610,116839250
2007,119192980,119052250
2008,119603750,119474960
2009,116525340,116427190
2010,112128340,111934870
2011,111639360,111375740
2012,113592450,113409360
2013,,115727560
