year2,job_creation,comp_job_creation
1978,14064220,14009400
1979,14445460,14403190
1980,12720370,12693030
1981,12766390,12999370
1982,13653530,13668420
1983,12154770,12518580
1984,14885790,15153230
1985,14583580,14672080
1986,15484580,15441810
1987,15925260,16254960
1988,16547300,16668400
1989,16577720,16917150
1990,15672440,15704990
1991,14630390,14823830
1992,15499660,15476630
1993,15344380,15431730
1994,15336050,15361480
1995,16247770,16273400
1996,16066330,16296280
1997,18525620,18552190
1998,18029790,18075890
1999,18105080,18174140
2000,19313560,19418730
2001,18450050,18692760
2002,19113890,19276540
2003,18256920,18121830
2004,17722210,17695510
2005,17888360,17921050
2006,19139270,19135350
2007,19436360,19544090
2008,17460290,17576090
2009,13583490,13692830
2010,13740190,13861390
2011,14960030,15011660
2012,16931100,16574810
2013,,15889110
