year2,job_creation_births,comp_job_creation_births
1978,4558670,4512250
1979,5000220,4945280
1980,4569430,4549670
1981,5217090,5409550
1982,6237940,6220150
1983,4725120,4772270
1984,5380380,5557990
1985,5364820,5396870
1986,6246580,6212280
1987,6437280,6766270
1988,6323330,6458650
1989,6250800,6580560
1990,5884020,5919430
1991,6011090,6195450
1992,5739550,5720710
1993,5118570,5207600
1994,5588710,5613070
1995,5916670,5946510
1996,6080140,6308430
1997,6876960,6912520
1998,6650160,6702670
1999,6807910,6864100
2000,7077810,7184870
2001,7063350,7307310
2002,8050440,8205810
2003,6736500,6601430
2004,6326140,6287830
2005,6983540,7011740
2006,7245960,7253230
2007,7028290,7141470
2008,6208520,6329590
2009,5114770,5218610
2010,5060790,5208830
2011,4883210,4947580
2012,5524260,5295410
2013,,5149170
