year2,job_creation_continuers,comp_job_creation_continuers
1978,9505550,9497160
1979,9445240,9457910
1980,8150940,8143360
1981,7549310,7589820
1982,7415590,7448260
1983,7429650,7746310
1984,9505400,9595240
1985,9218760,9275200
1986,9238000,9229540
1987,9487980,9488700
1988,10223970,10209750
1989,10326910,10336590
1990,9788420,9785570
1991,8619300,8628380
1992,9760110,9755920
1993,10225810,10224130
1994,9747340,9748410
1995,10331090,10326890
1996,9986190,9987850
1997,11648660,11639670
1998,11379620,11373230
1999,11297170,11310030
2000,12235760,12233860
2001,11386700,11385450
2002,11063450,11070730
2003,11520420,11520400
2004,11396070,11407680
2005,10904830,10909320
2006,11893310,11882120
2007,12408060,12402620
2008,11251770,11246500
2009,8468720,8474220
2010,8679400,8652570
2011,10076820,10064080
2012,11406840,11279400
2013,,10739940
