year2,job_creation,comp_job_creation
1978,14064220,14128500
1979,14445460,14497050
1980,12720370,12780080
1981,12766390,13060440
1982,13653530,13783310
1983,12154770,12636000
1984,14885790,15240120
1985,14583580,14791270
1986,15484580,15563680
1987,15925260,16389080
1988,16547300,16799420
1989,16577720,17007760
1990,15672440,15820520
1991,14630390,14927650
1992,15499660,15612020
1993,15344380,15556020
1994,15336050,15486300
1995,16247770,16393560
1996,16066330,16416690
1997,18525620,18691610
1998,18029790,18214180
1999,18105080,18300980
2000,19313560,19524500
2001,18450050,18814880
2002,19113890,19381270
2003,18256920,18254560
2004,17722210,17827340
2005,17888360,18064830
2006,19139270,19304090
2007,19436360,19724840
2008,17460290,17708280
2009,13583490,13813340
2010,13740190,14004260
2011,14960030,15162420
2012,16931100,16744710
2013,,16025920
