year2,job_creation_continuers,comp_job_creation_continuers
1978,9505550,9504760
1979,9445240,9445820
1980,8150940,8150470
1981,7549310,7578770
1982,7415590,7446820
1983,7429650,7745080
1984,9505400,9584860
1985,9218760,9282630
1986,9238000,9238290
1987,9487980,9488780
1988,10223970,10223760
1989,10326910,10328930
1990,9788420,9789880
1991,8619300,8620320
1992,9760110,9761600
1993,10225810,10225720
1994,9747340,9747750
1995,10331090,10329990
1996,9986190,9986250
1997,11648660,11643170
1998,11379620,11379250
1999,11297170,11297340
2000,12235760,12230990
2001,11386700,11385140
2002,11063450,11066940
2003,11520420,11519430
2004,11396070,11407600
2005,10904830,10909580
2006,11893310,11889870
2007,12408060,12410110
2008,11251770,11239530
2009,8468720,8465550
2010,8679400,8673260
2011,10076820,10072670
2012,11406840,11311940
2013,,10750750
