year2,denom,comp_denom
1978,67835160,67119170
1979,71831980,71040480
1980,74287350,72287110
1981,73590410,71465530
1982,73949270,71346450
1983,73466770,71006250
1984,75063960,72572880
1985,79559370,76014820
1986,82132210,79148810
1987,84903600,81352700
1988,85985520,82993250
1989,88979790,85449220
1990,91435830,87981940
1991,91986980,88565120
1992,91484070,88481640
1993,92477740,89627380
1994,94063550,90945640
1995,96686550,93670140
1996,99495510,97093220
1997,101839650,99639450
1998,104693910,101863370
1999,107853080,104052830
2000,110849910,107157800
2001,113951990,
2002,113026370,
2003,111659810,
2004,112879080,
2005,114392230,
2006,116880610,
2007,119192980,
2008,119603750,
2009,116525340,
2010,112128340,
2011,111639360,
2012,113592450,
