year2,job_creation,comp_job_creation
1978,14064220,19329090
1979,14445460,19819540
1980,12720370,18152130
1981,12766390,18334290
1982,13653530,18356230
1983,12154770,17031510
1984,14885790,20180160
1985,14583580,21519050
1986,15484580,22485670
1987,15925260,23633370
1988,16547300,23020110
1989,16577720,23879060
1990,15672440,23402840
1991,14630390,21704190
1992,15499660,23080180
1993,15344380,22037910
1994,15336050,22363080
1995,16247770,24341670
1996,16066330,24464170
1997,18525620,26197120
1998,18029790,25513910
1999,18105080,27338440
2000,19313560,28174930
2001,18450050,
2002,19113890,
2003,18256920,
2004,17722210,
2005,17888360,
2006,19139270,
2007,19436360,
2008,17460290,
2009,13583490,
2010,13740190,
2011,14960030,
2012,16931100,
