year2,job_creation_births,comp_job_creation_births
1978,4558670,3723580
1979,5000220,4044160
1980,4569430,3640010
1981,5217090,3817380
1982,6237940,4903770
1983,4725120,3802620
1984,5380380,4295600
1985,5364820,4798930
1986,6246580,5002030
1987,6437280,6292210
1988,6323330,4549490
1989,6250800,5310430
1990,5884020,4554550
1991,6011090,5215020
1992,5739550,4699600
1993,5118570,4086610
1994,5588710,4677410
1995,5916670,4966020
1996,6080140,5326770
1997,6876960,5755900
1998,6650160,5070980
1999,6807910,5242540
2000,7077810,5426400
2001,7063350,
2002,8050440,
2003,6736500,
2004,6326140,
2005,6983540,
2006,7245960,
2007,7028290,
2008,6208520,
2009,5114770,
2010,5060790,
2011,4883210,
2012,5524260,
