year2,job_creation_continuers,comp_job_creation_continuers
1978,9505550,15605510
1979,9445240,15775370
1980,8150940,14512120
1981,7549310,14516910
1982,7415590,13452450
1983,7429650,13228880
1984,9505400,15884570
1985,9218760,16720120
1986,9238000,17483640
1987,9487980,17341160
1988,10223970,18470620
1989,10326910,18568630
1990,9788420,18848300
1991,8619300,16489160
1992,9760110,18380580
1993,10225810,17951300
1994,9747340,17685670
1995,10331090,19375660
1996,9986190,19137400
1997,11648660,20441220
1998,11379620,20442930
1999,11297170,22095900
2000,12235760,22748530
2001,11386700,
2002,11063450,
2003,11520420,
2004,11396070,
2005,10904830,
2006,11893310,
2007,12408060,
2008,11251770,
2009,8468720,
2010,8679400,
2011,10076820,
2012,11406840,
